Date,Product,Quantity,Revenue
2025-11-16,Widget B,46,1932
2025-03-18,Widget C,26,1092
2025-07-22,Widget B,39,1794
2025-10-11,Widget A,36,576
2025-09-09,Widget E,28,728
2025-10-27,Widget C,4,172
2025-10-25,Widget B,31,465
2025-09-21,Widget C,50,900
2025-04-02,Widget E,46,1748
2025-08-03,Widget C,28,1204
2025-05-29,Widget C,25,825
2025-03-30,Widget D,38,798
2025-01-16,Widget B,32,1024
2025-03-14,Widget E,31,1271
2025-03-05,Widget D,17,527
2025-04-27,Widget B,10,160
2025-10-30,Widget B,13,481
2025-06-04,Widget A,23,1058
2025-08-25,Widget E,36,396
2025-04-20,Widget E,30,330
2025-07-27,Widget A,2,76
2025-07-14,Widget B,13,156
2025-08-09,Widget E,9,135
2025-10-03,Widget C,23,529
2025-04-27,Widget A,44,1276
2025-02-03,Widget A,47,846
2025-09-19,Widget E,22,660
2025-11-05,Widget D,50,1650
2025-11-03,Widget C,15,255
2025-08-28,Widget B,45,495
2025-04-29,Widget E,28,588
2025-10-08,Widget C,34,340
2025-08-24,Widget D,31,1519
2025-06-14,Widget A,39,819
2025-09-04,Widget B,19,266
2025-12-19,Widget B,39,702
2025-04-05,Widget D,10,480
2025-02-05,Widget E,47,1034
2025-11-07,Widget B,17,816
2025-06-05,Widget A,42,1512
2025-05-21,Widget D,8,352
2025-04-26,Widget E,10,230
2025-01-15,Widget B,9,360
2025-03-13,Widget B,22,594
2025-02-07,Widget E,50,850
2025-12-20,Widget D,34,952
2025-04-15,Widget A,19,190
2025-08-21,Widget E,14,224
2025-08-10,Widget A,37,1480
2025-06-09,Widget A,1,44
2025-04-06,Widget C,34,1122
2025-05-02,Widget B,20,260
2025-12-20,Widget A,20,780
2025-01-14,Widget E,29,841
2025-11-29,Widget A,15,330
2025-08-13,Widget B,22,418
2025-01-21,Widget D,18,576
2025-07-13,Widget D,38,456
2025-06-10,Widget E,13,260
2025-02-26,Widget E,5,75
2025-02-10,Widget A,2,26
2025-04-08,Widget E,44,924
2025-11-30,Widget E,13,559
2025-03-09,Widget D,23,437
2025-04-28,Widget A,24,1104
2025-12-12,Widget D,35,700
2025-08-03,Widget B,25,375
2025-05-31,Widget B,39,468
2025-07-13,Widget A,25,1150
2025-06-07,Widget A,49,980
2025-06-24,Widget C,14,168
2025-04-10,Widget B,42,1344
2025-08-30,Widget C,36,1152
2025-02-10,Widget D,4,40
2025-11-04,Widget B,26,624
2025-01-17,Widget C,23,299
2025-07-26,Widget A,13,390
2025-12-09,Widget A,36,1152
2025-10-20,Widget E,38,912
2025-03-07,Widget B,48,1776
2025-06-17,Widget E,3,57
2025-10-20,Widget E,33,990
2025-07-01,Widget A,9,396
2025-01-20,Widget D,24,360
2025-05-29,Widget C,43,2021
2025-01-26,Widget E,25,350
2025-10-29,Widget B,40,840
2025-05-17,Widget C,12,528
2025-05-12,Widget B,50,1400
2025-12-13,Widget E,14,560
2025-03-21,Widget D,50,550
2025-03-26,Widget C,40,1720
2025-06-10,Widget A,9,432
2025-08-28,Widget D,39,1248
2025-09-23,Widget E,46,1058
2025-02-05,Widget D,26,832
2025-01-10,Widget E,37,1813
2025-10-30,Widget D,7,336
2025-10-29,Widget E,16,752
2025-02-08,Widget D,44,660
2025-02-28,Widget E,34,1428
2025-02-03,Widget E,43,688
2025-04-27,Widget D,24,264
2025-10-20,Widget B,46,1380
2025-02-16,Widget C,1,27
2025-04-03,Widget A,1,46
2025-08-17,Widget B,50,1800
2025-02-11,Widget D,11,484
2025-05-12,Widget E,48,1296
2025-05-15,Widget C,14,518
2025-01-13,Widget B,28,1400
2025-05-02,Widget C,15,180
2025-10-11,Widget D,48,816
2025-12-24,Widget A,30,630
2025-06-13,Widget C,11,308
2025-02-03,Widget C,33,726
2025-06-16,Widget A,5,50
2025-12-10,Widget D,12,336
2025-12-26,Widget B,4,68
2025-07-29,Widget A,37,1295
2025-03-04,Widget B,14,434
2025-07-11,Widget B,8,80
2025-03-28,Widget E,15,600
2025-11-21,Widget C,18,486
2025-08-10,Widget D,33,528
2025-09-03,Widget E,41,1271
2025-01-25,Widget E,9,315
2025-04-01,Widget A,35,1505
2025-12-10,Widget A,36,1152
2025-10-14,Widget B,26,338
2025-11-20,Widget A,1,50
2025-03-21,Widget A,18,504
2025-04-05,Widget A,12,204
2025-07-29,Widget A,32,1408
2025-12-15,Widget A,17,544
2025-08-22,Widget E,11,440
2025-03-14,Widget D,6,120
2025-11-12,Widget A,48,1968
2025-08-17,Widget E,27,1242
2025-11-19,Widget C,9,441
2025-06-19,Widget E,22,572
2025-02-09,Widget B,27,918
2025-08-08,Widget D,9,351
2025-01-29,Widget E,25,325
2025-08-30,Widget A,8,232
2025-12-12,Widget A,3,48
2025-09-27,Widget D,31,992
2025-04-08,Widget C,26,884
2025-07-19,Widget E,13,429
2025-06-09,Widget A,40,840
2025-10-08,Widget C,44,2068
2025-06-22,Widget A,29,957
2025-04-17,Widget D,15,555
2025-08-07,Widget E,46,1932
2025-10-20,Widget E,43,903
2025-10-25,Widget C,19,285
2025-03-28,Widget B,31,589
2025-04-25,Widget E,12,600
2025-01-21,Widget E,27,432
2025-09-13,Widget D,30,870
2025-03-06,Widget E,39,1404
2025-06-17,Widget A,9,162
2025-04-12,Widget C,48,2352
2025-03-19,Widget D,37,1480
2025-03-21,Widget D,37,1813
2025-08-01,Widget D,6,120
2025-12-25,Widget D,29,841
2025-09-04,Widget E,34,1224
2025-07-26,Widget B,28,896
2025-07-05,Widget C,24,1176
2025-03-22,Widget C,25,750
2025-09-20,Widget D,2,44
2025-09-09,Widget C,14,616
2025-09-27,Widget C,27,756
2025-02-10,Widget E,1,41
2025-12-20,Widget B,40,1920
2025-08-08,Widget D,45,1755
2025-08-30,Widget A,36,396
2025-09-13,Widget C,17,510
2025-11-05,Widget B,50,950
2025-02-13,Widget A,49,1274
2025-01-16,Widget C,5,105
2025-12-22,Widget E,37,481
2025-04-15,Widget D,39,507
2025-08-23,Widget C,24,840
2025-10-11,Widget A,50,2150
2025-12-08,Widget A,7,210
2025-07-05,Widget B,20,440
2025-11-25,Widget D,10,500
2025-10-27,Widget B,15,285
2025-11-28,Widget A,3,123
2025-05-08,Widget A,16,784
2025-12-09,Widget B,46,506
2025-10-03,Widget D,32,416
2025-02-13,Widget D,10,250
2025-06-14,Widget B,27,270
2025-07-20,Widget D,28,336
2025-05-11,Widget D,35,1260
2025-05-15,Widget C,2,50
2025-09-04,Widget A,13,416
2025-12-31,Widget C,38,1520
2025-11-09,Widget B,31,837
2025-05-18,Widget E,47,1363
2025-11-10,Widget E,49,1764
