Date,Product,Quantity,Revenue
2025-04-07,Widget E,13,507
2025-07-03,Widget D,3,102
2025-08-19,Widget D,31,1178
2025-07-21,Widget A,32,352
2025-02-17,Widget C,9,315
2025-11-26,Widget A,33,1584
2025-07-24,Widget D,39,1521
2025-06-29,Widget D,48,1488
2025-02-08,Widget E,45,1260
2025-10-05,Widget E,34,748
2025-12-09,Widget C,11,110
2025-08-13,Widget A,19,570
2025-03-20,Widget A,33,1584
2025-04-29,Widget D,32,1600
2025-10-11,Widget D,23,1035
2025-10-29,Widget A,10,390
2025-03-31,Widget C,47,1128
2025-11-09,Widget C,27,1296
2025-03-17,Widget A,13,247
2025-09-04,Widget D,2,78
2025-08-09,Widget D,39,1872
2025-08-01,Widget C,9,135
2025-12-11,Widget B,31,1457
2025-10-18,Widget D,36,1728
2025-07-15,Widget A,40,1000
2025-03-26,Widget C,11,374
2025-12-27,Widget E,42,1764
2025-09-23,Widget E,24,312
2025-10-10,Widget E,12,228
2025-09-12,Widget C,7,126
2025-09-01,Widget E,46,1610
2025-07-09,Widget A,31,651
2025-07-09,Widget C,32,608
2025-11-03,Widget C,16,240
2025-08-14,Widget B,6,66
2025-07-26,Widget A,28,532
2025-06-11,Widget E,29,1421
2025-04-14,Widget A,15,495
2025-03-07,Widget A,42,1638
2025-11-30,Widget A,26,260
2025-03-13,Widget D,43,2150
2025-05-03,Widget E,46,1472
2025-04-29,Widget D,28,1344
2025-04-01,Widget D,24,792
2025-04-22,Widget A,13,182
2025-05-09,Widget A,7,301
2025-11-03,Widget B,48,1392
2025-08-18,Widget C,37,1369
2025-04-23,Widget E,45,540
2025-09-05,Widget D,50,600
2025-04-30,Widget C,49,980
2025-10-31,Widget A,37,370
2025-03-20,Widget E,29,899
2025-09-06,Widget E,10,180
2025-03-07,Widget C,41,1394
2025-04-25,Widget A,46,1610
2025-11-05,Widget A,28,868
2025-07-12,Widget A,5,210
2025-12-21,Widget E,50,2500
2025-06-23,Widget E,17,374
2025-05-28,Widget A,2,32
2025-02-06,Widget D,46,1978
2025-09-21,Widget C,9,396
2025-08-15,Widget B,47,1457
2025-02-23,Widget A,19,817
2025-10-26,Widget D,41,1517
2025-08-24,Widget C,2,62
2025-05-23,Widget C,43,1892
2025-01-10,Widget B,10,440
2025-10-24,Widget B,43,1419
2025-10-07,Widget A,11,132
2025-03-29,Widget E,20,520
2025-10-27,Widget A,4,96
2025-01-18,Widget A,35,560
2025-01-07,Widget C,37,407
2025-06-05,Widget B,16,272
2025-02-13,Widget A,46,1518
2025-09-10,Widget D,7,182
2025-09-29,Widget E,46,1794
2025-07-30,Widget A,30,1140
2025-07-26,Widget D,1,16
2025-10-11,Widget A,7,238
2025-11-03,Widget E,6,138
2025-08-10,Widget C,29,638
2025-12-03,Widget D,19,418
2025-09-28,Widget B,10,270
2025-03-18,Widget A,12,204
2025-09-23,Widget C,46,782
2025-06-14,Widget A,43,1892
2025-02-06,Widget D,19,646
2025-08-24,Widget C,47,1316
2025-02-10,Widget B,4,132
2025-10-29,Widget A,49,735
2025-09-09,Widget C,40,400
2025-11-04,Widget E,16,784
2025-01-25,Widget E,30,1470
2025-01-29,Widget A,29,319
2025-03-21,Widget B,3,78
2025-10-19,Widget A,9,378
2025-12-05,Widget B,14,462
2025-10-08,Widget B,8,384
2025-05-12,Widget D,31,1457
2025-04-16,Widget C,1,38
2025-03-09,Widget C,50,2450
2025-03-01,Widget C,36,1224
2025-01-06,Widget B,12,264
2025-09-14,Widget D,7,210
2025-08-19,Widget B,9,414
2025-08-24,Widget B,29,1363
2025-03-13,Widget A,35,595
2025-05-05,Widget A,28,588
2025-10-12,Widget D,47,1786
2025-10-11,Widget C,37,592
2025-06-25,Widget C,32,448
2025-01-19,Widget D,18,306
2025-10-30,Widget D,48,2064
2025-07-05,Widget A,5,180
2025-11-20,Widget E,17,595
2025-12-28,Widget C,49,2450
2025-06-07,Widget D,21,441
2025-08-01,Widget C,14,602
2025-03-12,Widget C,5,225
2025-12-31,Widget D,3,123
2025-11-13,Widget C,34,816
2025-04-26,Widget D,27,1350
2025-01-09,Widget D,11,220
2025-05-11,Widget A,49,1078
2025-10-12,Widget C,8,160
2025-11-09,Widget B,28,896
2025-08-06,Widget E,38,1444
2025-02-14,Widget E,28,924
2025-11-24,Widget A,50,1400
2025-05-25,Widget A,27,1134
2025-01-02,Widget A,22,528
2025-01-27,Widget B,9,378
2025-05-20,Widget C,29,812
2025-03-27,Widget B,1,24
2025-01-07,Widget B,20,860
2025-09-10,Widget E,41,1312
2025-08-25,Widget C,50,1400
2025-05-19,Widget D,30,1440
2025-02-22,Widget A,16,224
2025-10-14,Widget B,25,675
2025-07-07,Widget B,11,143
2025-10-29,Widget E,15,540
2025-01-04,Widget D,7,238
2025-06-16,Widget A,10,240
2025-03-16,Widget B,39,1677
2025-10-24,Widget C,1,31
2025-12-09,Widget D,29,1450
2025-04-07,Widget E,10,210
2025-11-16,Widget E,21,609
2025-09-04,Widget E,2,26
2025-07-19,Widget A,1,40
2025-05-04,Widget B,46,782
2025-11-22,Widget C,4,156
2025-08-09,Widget C,50,1550
2025-05-27,Widget B,35,1575
2025-10-09,Widget C,17,680
2025-03-18,Widget D,26,1092
2025-06-28,Widget E,12,396
2025-01-31,Widget A,21,357
2025-03-28,Widget E,42,1386
2025-04-11,Widget D,14,546
2025-08-29,Widget E,10,410
2025-10-24,Widget C,5,115
2025-06-21,Widget C,3,144
2025-04-11,Widget D,39,546
2025-04-11,Widget C,20,360
2025-01-01,Widget D,22,330
2025-03-19,Widget A,6,222
2025-01-04,Widget D,39,702
2025-05-06,Widget C,16,448
2025-07-25,Widget E,50,1300
2025-03-21,Widget A,45,1305
2025-12-28,Widget B,7,175
2025-12-31,Widget E,11,297
2025-09-11,Widget C,17,612
2025-11-20,Widget C,20,900
2025-07-26,Widget B,44,1188
2025-08-14,Widget A,18,234
2025-10-13,Widget E,45,720
2025-12-22,Widget B,38,418
2025-04-01,Widget E,26,494
2025-04-28,Widget E,8,376
2025-03-15,Widget E,15,720
2025-12-13,Widget C,49,1127
2025-03-11,Widget B,39,1950
2025-12-11,Widget D,10,270
2025-12-04,Widget B,50,2400
2025-03-15,Widget B,18,360
2025-08-30,Widget A,45,810
2025-10-09,Widget B,12,516
2025-01-20,Widget D,46,736
2025-08-30,Widget A,45,990
2025-09-11,Widget E,10,400
2025-03-30,Widget A,41,1845
2025-01-07,Widget B,3,57
2025-09-21,Widget D,20,860
2025-11-12,Widget B,13,338
2025-08-09,Widget E,46,460
2025-11-03,Widget E,9,414
2025-06-25,Widget A,49,833
2025-09-07,Widget A,1,27
2025-05-12,Widget E,10,420
2025-12-15,Widget D,29,1247
2025-06-12,Widget C,47,658
2025-07-02,Widget B,25,550
2025-05-30,Widget B,41,1681
2025-05-06,Widget C,16,624
2025-04-24,Widget D,31,651
2025-05-03,Widget C,30,450
2025-10-10,Widget D,35,525
2025-06-30,Widget B,22,440
2025-02-22,Widget A,3,36
2025-07-25,Widget B,5,175
2025-06-17,Widget A,24,864
2025-10-08,Widget D,47,1457
2025-01-27,Widget D,14,630
2025-01-21,Widget D,45,630
2025-01-29,Widget C,24,768
2025-01-10,Widget E,17,306
2025-01-06,Widget E,32,320
2025-10-06,Widget E,43,1290
2025-11-11,Widget D,41,1189
2025-03-14,Widget C,41,861
2025-06-22,Widget A,26,312
2025-06-06,Widget E,25,1175
2025-03-25,Widget E,18,252
2025-07-13,Widget B,35,1190
2025-11-04,Widget B,5,185
2025-06-05,Widget C,33,1122
2025-07-24,Widget D,33,1419
2025-01-16,Widget B,48,1440
2025-07-13,Widget B,15,495
2025-08-18,Widget C,22,748
2025-11-18,Widget E,18,702
2025-03-13,Widget C,11,319
2025-04-13,Widget C,49,1666
2025-03-27,Widget A,2,62
2025-01-22,Widget D,44,1408
2025-05-03,Widget D,42,1680
2025-01-02,Widget D,45,1395
2025-01-24,Widget E,45,585
2025-12-12,Widget A,41,656
2025-06-15,Widget A,7,329
2025-05-14,Widget C,45,630
2025-07-31,Widget D,36,468
2025-07-21,Widget D,41,1681
2025-05-19,Widget E,44,2068
2025-02-24,Widget C,29,290
2025-05-29,Widget D,15,315
2025-01-29,Widget B,26,1144
2025-10-03,Widget A,40,1640
2025-07-09,Widget A,46,1702
2025-06-02,Widget A,27,621
2025-07-08,Widget C,33,363
2025-09-03,Widget B,7,147
2025-07-09,Widget C,44,1276
